comment,sentiment,polarity
Abelardo Gonzales I am in San Antonio and I still can not login.,Neutral,0.0
2024-11-16 17:26:46,Neutral,0.0
Makinu Fox Cat is anyone having issues paying with their card online?,Neutral,0.0
2024-10-10 21:52:17,Neutral,0.0
Rod munch live in florida where hurricaine is hitting,Positive,0.13636363636363635
2024-10-09 17:57:38,Neutral,0.0
Rod munch Online Banking is temporarily unavailable,Neutral,0.0
2024-10-09 17:57:05,Neutral,0.0
Rod munch yea Online Banking is temporarily unavailable,Neutral,0.0
2024-10-09 17:56:50,Neutral,0.0
"Kim Marasti can&#x27;t log in to app, says unavailable...anyone else?",Neutral,0.0
2024-10-09 17:24:12,Neutral,0.0
Glizzy Anyone get their direct deposit yet?,Positive,0.1
2024-09-27 02:47:46,Neutral,0.0
Glizzy Nope,Neutral,0.0
2024-09-26 22:51:13,Neutral,0.0
Daniel Any get early pay yet?,Positive,0.1
2024-09-26 21:25:06,Neutral,0.0
Ihop We have a problem. Please try again a little later. when using zelle what is wrong with the browser?????,Negative,-0.22916666666666666
2024-09-25 18:46:27,Neutral,0.0
"ANonymous Ok, thanks. Just wanted to see if I was the only one with this issue.",Positive,0.2333333333333333
2024-09-18 23:30:40,Neutral,0.0
Jeff R Yes,Neutral,0.0
2024-09-18 23:23:53,Neutral,0.0
"Jeff R Still no deposit, Still waiting. Of course Wells Fargo states Early Direct Deposit is not gauranteed...",Positive,0.1
2024-09-18 23:23:42,Neutral,0.0
ANonymous Anybody else missing their early deposit? It&#x27;s an hour after the normal deposit time and I haven&#x27;t seen anything yet.,Positive,0.016666666666666663
2024-09-18 23:16:32,Neutral,0.0
eric me either says unavailable I guess I will wait,Neutral,0.0
2024-09-17 20:48:36,Neutral,0.0
Tryse Can’t use app to mobile deposit,Neutral,0.0
2024-09-17 20:21:06,Neutral,0.0
Verria-Nichole Can&#x27;t make credit card payments. Not even the transactions will load.,Neutral,0.0
2024-09-12 12:41:08,Neutral,0.0
